Gene	OF2_OO_sc.1	OF2_OO_sc.2	OF2_OO_sc.3	OF2_OO_sc.4	OF2_OO_sc.5	OF2_OO_sc.6	OF2_OO_sc.7	OF2_OO_sc.8	OF2_OO_sc.9	OF2_OO_sc.10	OF2_OO_sc.11	OF2_OO_sc.12	OF2_OO_sc.13	OF2_OO_sc.14	OF2_OO_sc.15	OF2_OO_sc.16	OF2_OO_sc.17	OF2_OO_sc.18	OF2_OO_sc.19	OF2_OO_sc.20	OF2_OO_sc.21	OF2_OO_sc.22	OF2_OO_sc.23	OF2_OO_sc.24	OF2_OO_sc.25	OF2_OO_sc.27	OF2_OO_sc.28	OF2_OO_sc.29	OF2_OO_sc.30	OF2_OO_sc.31	OF2_OO_sc.32	OF2_OO_sc.33	OF2_OO_sc.34	OF2_OO_sc.35	OF2_OO_sc.36	OF2_OO_sc.37	OF2_OO_sc.38
ACP5	0	0	0	0	0	0	0	0	3	0	4	2	2	0	0	0	0	0	0	0	4	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACP6	0	0	0	0	0	0	0	0	5	0	34	61	51	0	1	0	4	6	0	0	29	4	1	28	6	0	0	0	0	0	0	0	0	8	1	0	0
ACP7	0	0	0	0	0	0	0	0	0	0	0	43	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0	0	0	1	0	1	0	0	2	0	2	12	10	0	2	1	2	5	0	1	6	9	5	24	8	0	0	0	0	0	3	0	0	1	1	0	0
ACRBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	0	0	0	0	0	0	0	0	0	0	0	21	15	0	3	0	2	9	0	2	9	1	3	8	0	0	0	0	0	0	1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSBG2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	0	0	0	0	0	0	0	0	0	0	91	16	0	0	0	0	0	2	0	2	4	0	2	6	0	0	0	0	0	0	0	2	0	0	0	0	0
ACSF3	0	0	1	0	0	0	0	0	0	0	4	3	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSL1	0	0	0	1	0	0	0	0	0	0	9	129	70	0	11	0	12	14	0	0	58	14	23	28	6	2	0	0	0	0	6	0	0	0	2	0	0
ACSL3	0	1	0	8	1	0	7	4	23	0	63	581	280	1	29	6	84	69	0	19	270	107	86	359	33	1	0	1	0	0	28	9	0	10	28	0	3
ACSL4	2	0	0	0	0	0	2	0	15	1	75	48	31	0	3	0	10	14	0	1	20	10	11	22	9	2	0	0	0	0	5	0	0	0	2	3	0
ACSL5	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	2	1	0	1	4	3	0	11	0	0	0	0	0	0	0	0	0	0	1	0	1
ACSL6	0	0	0	0	0	0	0	0	2	0	0	16	10	0	0	0	1	0	0	0	4	0	1	9	4	0	0	0	0	0	0	0	0	0	1	0	0
ACSM3	0	0	0	0	0	0	0	0	2	0	148	15	13	0	0	0	4	5	0	1	10	1	1	5	4	0	0	0	0	0	2	0	0	0	0	0	1
ACSM4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	0	0	0	50	37	10	0	1	0	3	0	0	2	12	1	6	7	0	1	0	0	0	0	1	0	0	0	0	0	0
ACSS2	0	0	0	0	0	0	0	0	2	0	32	164	55	0	2	0	6	5	0	0	44	14	15	36	4	1	0	0	1	1	4	1	0	3	2	0	0
ACSS3	0	1	0	0	0	0	0	0	1	0	204	72	17	0	6	0	9	10	0	2	9	2	8	12	7	0	0	0	1	0	3	0	0	0	0	0	0
ACTA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTA2	0	0	4	0	25	0	0	1	1	0	24	26	4	4	0	0	5	3	0	0	9	4	8	10	3	0	0	0	1	0	0	0	0	0	0	0	1
ACTB	2	3	3	19	13	0	3	12	186	7	1706	1319	1039	18	39	3	104	119	0	66	744	141	261	977	250	35	1	2	4	6	21	60	2	131	51	13	19
ACTBL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTC1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	9	1	6	0	0	1	0	0	1	0	0	0	0	0
ACTG1	8	3	0	10	5	1	30	10	227	2	1979	1479	1535	23	78	16	162	137	4	80	1302	192	485	1337	426	73	0	12	7	2	61	92	1	150	79	21	22
ACTG2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL6A	2	1	1	10	1	2	2	8	27	0	86	783	616	5	50	7	215	161	6	39	546	269	96	244	46	9	0	1	2	0	32	12	0	17	35	3	6
ACTL6B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL7B	0	0	0	0	0	0	0	0	1	0	0	5	2	0	0	0	0	0	0	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTL8	1	1	0	4	0	1	0	6	27	1	33	1467	874	14	118	5	194	205	1	45	788	114	460	979	239	10	0	0	3	0	81	8	0	8	17	1	1
ACTN1	0	0	0	2	1	0	0	1	14	0	55	75	1	0	3	0	1	6	1	0	4	2	2	1	0	2	0	0	0	0	1	0	0	9	10	0	3
ACTN2	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
ACTN3	0	0	0	1	0	0	0	0	1	0	5	86	37	1	1	0	2	6	0	1	39	7	24	27	8	0	0	0	0	0	2	0	0	4	1	0	0
ACTN4	1	0	0	0	0	0	0	0	5	0	63	87	45	1	2	3	4	3	1	0	33	6	16	88	12	2	0	0	3	0	1	2	0	5	4	1	0
ACTR10	1	2	1	7	3	2	3	1	57	2	130	279	175	3	25	2	47	26	4	12	171	64	23	90	18	11	0	3	0	1	18	19	0	31	40	4	5
ACTR1A	0	0	0	0	0	0	0	0	10	0	70	151	80	0	5	0	6	7	0	0	50	11	24	78	14	0	0	0	0	0	0	2	0	8	6	3	1
ACTR1B	0	0	0	0	0	2	0	0	12	0	55	73	30	0	1	0	9	2	0	1	32	5	21	49	12	2	0	0	1	0	1	0	0	1	9	0	0
ACTR3	1	1	0	1	1	0	0	5	21	0	185	306	173	0	34	0	64	55	0	10	141	52	57	162	58	2	0	3	0	0	18	4	0	13	18	5	2
ACTR3B	0	0	0	0	0	0	2	3	6	0	11	102	66	0	13	0	23	15	1	8	66	27	15	59	16	1	0	4	2	0	10	3	0	5	3	0	0
ACTR5	0	0	0	0	1	0	0	0	0	0	14	121	35	1	2	0	7	6	0	0	36	10	13	44	9	0	0	0	0	0	0	4	0	2	2	2	0
ACTR6	3	1	3	7	0	2	0	7	24	0	70	228	109	1	40	9	76	84	3	12	103	97	37	94	21	2	0	1	4	3	16	13	0	26	19	6	2
ACTR8	0	0	0	3	0	0	0	1	17	1	85	91	46	1	4	0	6	5	0	6	42	11	12	47	14	0	0	0	0	2	1	3	0	2	4	1	0
ACTRT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTRT3	0	0	0	0	0	0	0	0	0	0	13	1	4	0	0	0	0	0	0	0	0	1	0	5	1	0	0	0	0	0	0	0	0	0	1	0	0
ACVR1	0	0	0	0	0	0	0	0	1	0	36	51	31	0	8	0	4	3	0	1	25	6	5	20	4	0	0	0	0	0	0	1	0	0	0	0	0
ACVR1B	0	0	0	2	0	1	0	1	5	0	34	91	152	1	10	0	27	24	1	17	105	24	60	200	66	4	0	0	0	0	16	1	0	0	0	0	0
ACVR1C	0	0	0	0	0	0	0	1	2	0	3	7	13	0	1	0	5	2	0	0	14	3	5	21	6	1	0	0	0	0	0	4	1	0	1	0	0
ACVR2A	0	0	0	2	1	0	1	0	7	0	42	151	94	1	17	1	25	37	0	2	48	29	27	47	15	4	0	0	2	0	19	2	1	1	4	0	0
ACVR2B	0	0	0	0	0	1	0	0	0	0	11	38	24	2	0	0	3	1	0	0	17	0	20	66	24	0	0	1	0	0	0	0	0	0	0	0	0
ACVRL1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
ACY3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACYP2	0	0	1	0	0	0	0	1	1	0	8	3	1	0	3	0	2	0	0	0	0	0	1	1	0	0	0	0	1	1	1	2	0	2	0	0	0
ADA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAD1	0	0	0	2	3	1	3	15	18	0	21	684	529	9	127	2	247	312	2	36	346	249	130	353	31	3	0	4	7	3	46	8	0	3	6	0	1
ADAD2	0	0	0	1	0	0	1	1	40	0	20	385	324	3	4	0	13	6	0	12	242	21	95	529	182	9	0	0	0	0	3	14	0	11	8	2	0
ADAL	1	2	0	3	0	0	0	2	13	0	22	114	51	0	8	0	35	17	0	2	39	28	13	53	10	2	0	0	3	0	1	1	0	7	8	1	0
ADAM10	2	0	0	1	0	1	0	3	1	0	39	159	58	0	8	0	23	14	0	3	36	17	9	38	2	4	0	0	3	0	1	3	0	0	4	1	0
ADAM11	0	0	0	0	0	0	0	0	3	0	2	16	7	0	0	0	0	0	0	0	4	1	4	7	10	0	0	0	0	0	0	0	0	2	0	0	0
ADAM12	0	0	0	0	2	0	1	0	3	0	107	90	70	0	5	1	20	10	1	1	45	27	10	59	5	4	0	0	0	0	0	5	0	3	5	1	0
ADAM15	0	0	0	0	0	0	0	0	0	0	11	1	3	0	0	0	0	0	0	0	4	2	2	14	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM17	0	0	0	1	0	0	0	0	5	0	12	112	32	1	9	1	18	14	0	2	27	9	12	21	7	1	0	0	0	0	0	0	0	1	0	1	0
ADAM18	0	0	0	0	0	0	1	0	0	0	48	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ADAM19	0	0	1	0	0	0	0	0	3	0	1	47	81	3	9	0	28	25	0	4	71	19	31	93	17	0	0	0	0	0	9	0	0	3	0	0	2
ADAM2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADAM22	0	0	0	0	0	0	0	0	1	0	0	3	7	0	0	0	0	2	1	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ADAM23	1	0	0	0	0	1	0	0	1	0	1	45	6	0	0	0	2	1	0	0	16	3	4	13	9	0	0	0	0	0	0	3	0	0	0	0	4
ADAM28	0	0	0	0	0	0	0	1	13	0	5	151	59	3	12	3	23	11	0	5	69	29	16	47	4	7	0	0	1	0	3	4	0	0	0	1	0
ADAM32	0	0	0	2	0	0	0	1	0	0	3	1	0	0	0	0	1	0	0	0	4	4	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAM7	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0
ADAM8	0	0	0	0	0	0	0	0	1	0	19	17	3	0	0	0	1	0	0	0	2	0	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0
ADAM9	0	0	1	0	1	0	0	0	1	1	107	16	17	0	2	0	13	7	0	2	13	8	3	12	1	3	0	0	0	0	3	1	0	4	1	0	0
ADAMDEC1	0	0	2	1	0	0	0	0	14	0	1	19	7	0	1	2	1	3	0	0	6	5	0	2	0	0	0	0	0	1	1	4	0	1	4	2	4
ADAMTS1	0	0	0	0	0	0	0	0	1	0	20	1	1	0	0	0	0	2	1	0	1	0	1	11	4	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS10	0	0	0	0	0	0	0	0	0	0	4	5	3	0	0	0	0	0	0	0	4	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS12	0	0	0	0	0	0	0	0	1	0	2	46	7	0	0	0	3	3	0	0	5	1	3	7	1	0	0	2	0	0	0	0	0	0	0	0	0
ADAMTS13	0	0	0	0	0	0	0	0	1	0	24	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS14	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS15	0	0	0	0	0	0	0	0	4	0	7	25	33	0	0	0	8	2	0	1	23	2	8	29	8	1	0	0	0	0	2	0	0	0	0	1	0
ADAMTS16	0	0	0	0	0	0	0	0	2	0	0	11	3	0	0	0	0	2	0	0	6	2	1	2	2	0	0	0	0	0	0	1	0	0	0	1	0
ADAMTS17	0	0	2	1	0	0	1	1	9	0	6	112	39	2	4	0	18	16	0	1	36	9	14	65	10	3	0	0	0	0	4	3	0	1	0	1	0
ADAMTS18	0	1	0	0	1	0	0	0	4	0	1	34	21	1	2	0	9	20	0	1	29	6	8	31	1	1	1	1	1	0	3	0	0	1	4	0	0
ADAMTS19	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS2	0	0	0	0	0	0	0	0	0	0	1	3	6	0	1	0	1	0	0	0	3	1	1	5	0	0	0	0	0	0	0	1	0	0	0	1	0
ADAMTS20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS3	1	0	0	0	0	0	0	0	1	0	31	126	96	1	24	2	43	38	0	6	88	24	36	72	10	2	0	0	0	0	15	1	0	1	7	1	1
ADAMTS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS5	0	0	0	0	0	0	0	0	2	0	41	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS8	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTS9	0	0	0	3	0	0	1	2	4	1	10	375	53	0	8	0	50	71	0	6	33	15	4	22	1	0	0	0	4	0	2	0	0	2	0	0	0
ADAMTSL1	2	3	0	0	0	1	0	0	11	0	42	201	193	0	17	0	55	48	0	11	145	70	53	137	8	6	0	0	0	0	12	4	0	2	5	1	2
ADAMTSL2	0	0	0	0	0	0	0	1	1	0	5	68	37	0	0	0	3	1	0	1	46	0	13	112	5	1	0	0	0	0	3	0	0	6	3	0	0
ADAMTSL4	0	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAMTSL5	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0
ADAP1	0	0	0	2	0	0	0	0	9	0	2	56	25	0	0	0	1	0	0	1	13	2	9	62	22	10	0	0	0	0	0	0	0	6	3	1	2
ADAP2	0	0	0	0	0	0	0	0	2	0	0	2	4	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0
ADAR	1	0	0	3	0	1	2	1	21	0	190	261	318	3	35	0	58	19	0	19	222	50	115	412	84	16	0	2	3	0	23	7	1	9	7	9	0
ADARB1	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	2	0	0	0	10	0	1	5	2	0	0	0	0	0	0	2	0	0	0	0	0
ADARB2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADAT1	0	0	0	0	0	0	0	0	0	0	4	10	5	0	0	0	1	0	0	0	2	2	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0
ADAT2	0	0	0	0	0	0	0	0	1	0	13	6	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0
ADCK1	1	0	0	0	0	0	0	0	1	0	8	82	42	0	0	0	6	5	0	0	21	7	7	26	2	3	0	0	1	0	1	1	0	2	5	0	0
ADCK2	0	0	0	3	0	0	2	0	2	0	80	124	113	1	6	1	14	12	0	8	102	22	54	121	33	0	0	0	0	0	3	1	0	3	2	0	1
ADCK5	0	0	0	0	0	0	0	0	2	0	211	15	13	3	0	0	1	1	0	0	12	2	4	18	5	3	0	0	0	0	0	0	0	2	2	0	0
ADCY1	0	0	0	0	0	0	0	0	1	0	0	3	6	0	0	0	0	0	0	0	2	2	1	1	1	2	0	0	0	0	0	0	0	1	1	0	0
ADCY10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY2	0	0	0	0	0	0	0	0	0	0	0	36	20	0	2	0	2	6	0	1	9	10	8	7	3	0	0	0	0	0	0	1	0	0	1	0	0
ADCY3	0	0	0	0	0	0	1	3	14	0	16	459	251	1	12	0	32	31	1	13	185	57	50	185	38	4	0	0	1	1	5	6	0	6	5	0	0
ADCY4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY5	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	0	0	0	0	0	3	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
ADCY6	0	0	0	2	0	0	0	0	1	0	53	6	12	1	0	0	0	0	0	0	3	0	4	11	1	3	0	0	0	0	0	0	0	2	1	0	0
ADCY7	0	0	0	0	0	0	0	0	8	0	7	71	65	2	8	0	9	15	0	4	50	7	29	73	11	1	0	0	0	0	4	6	0	3	4	2	0
ADCY8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
ADCYAP1	0	0	0	0	0	0	0	0	4	0	0	12	5	0	0	0	0	0	0	0	12	1	3	4	6	0	0	0	0	0	0	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADD1	0	0	0	2	0	1	0	2	14	1	179	197	195	2	15	6	29	22	0	6	239	24	95	384	86	2	0	0	0	0	3	2	0	2	3	1	2
ADD2	0	0	0	1	0	0	0	0	1	0	1	51	22	0	1	0	10	2	0	0	33	4	14	31	8	1	0	0	0	0	0	0	0	3	4	0	1
ADD3	1	2	1	11	0	3	10	4	38	0	112	573	429	1	69	23	151	115	3	41	453	111	177	527	130	12	0	0	0	1	59	8	1	13	30	0	3
ADGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA2	0	0	0	0	0	0	0	0	1	0	1	4	4	0	1	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
ADGRA3	0	0	0	0	0	0	0	0	1	0	45	194	179	0	28	0	44	49	0	6	123	45	54	125	9	1	0	0	0	1	22	0	0	0	2	2	0
ADGRB1	0	0	0	0	0	1	0	0	3	0	16	0	1	0	0	0	0	0	0	0	0	0	0	21	0	5	0	0	0	0	0	1	0	0	0	0	0
ADGRB2	0	0	0	0	0	0	0	0	3	0	10	25	25	1	1	0	1	1	0	1	25	1	13	49	16	0	0	0	0	0	0	0	0	1	2	0	0
ADGRB3	0	0	0	0	0	0	0	0	0	0	15	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ADGRD1	0	0	0	0	0	0	1	0	4	0	1	21	54	0	0	0	7	2	1	1	42	0	7	27	4	1	0	0	2	0	3	0	0	1	2	0	1
ADGRD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRE5	0	0	0	0	0	0	0	0	0	0	2	14	6	0	0	0	0	0	0	1	6	0	4	8	1	1	0	0	0	0	0	0	0	1	0	0	0
ADGRF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF3	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRF4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ADGRF5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG1	0	0	0	0	0	0	1	0	3	1	707	254	136	5	10	0	28	23	0	5	96	29	47	192	48	0	0	0	1	0	5	1	0	2	4	3	1
ADGRG2	0	0	0	1	0	0	0	3	8	0	3	3	25	0	1	0	1	1	0	2	25	7	4	25	4	6	0	0	2	2	0	1	0	2	0	3	0
ADGRG3	0	0	0	0	0	0	0	0	0	0	0	35	5	1	0	0	4	0	0	2	9	0	5	26	7	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADGRG5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADGRG6	0	1	0	5	0	2	1	1	7	0	13	107	142	1	18	1	31	21	0	8	112	21	52	123	30	2	0	0	1	0	10	2	0	5	1	0	0
ADGRG7	0	1	0	1	0	0	0	1	2	0	1	152	78	0	9	0	22	13	0	6	54	19	15	45	6	0	0	0	0	0	14	4	0	0	3	1	0
ADGRL1	0	0	0	0	0	0	0	0	0	0	41	23	40	0	1	0	4	6	0	0	26	1	29	55	28	7	0	0	0	0	0	0	0	4	0	0	0
ADGRL2	1	0	0	0	0	0	0	0	6	0	104	1	10	0	2	0	2	0	0	0	7	2	6	4	2	0	0	0	0	0	0	0	0	1	0	1	0
ADGRL3	0	0	0	0	2	0	0	0	0	0	7	23	3	0	0	0	0	2	0	0	4	2	1	2	1	0	0	0	0	0	0	1	0	0	0	0	0
ADGRL4	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
ADGRV1	0	0	0	0	0	0	0	0	0	0	13	1	2	0	0	0	0	0	0	0	1	0	1	5	1	1	0	1	0	0	0	2	1	0	2	1	0
ADH1B	0	0	0	0	0	0	0	0	0	0	0	11	0	0	1	0	0	2	0	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ADH4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADH5	1	1	0	13	1	1	4	3	44	0	286	577	365	2	20	16	62	47	0	18	271	112	77	238	52	9	0	0	6	0	23	5	0	34	19	6	4
ADH6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADHFE1	0	0	0	0	0	0	0	0	0	0	44	1	2	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0
ADI1	3	6	0	16	0	4	0	10	31	3	85	1367	593	2	45	7	152	141	3	45	429	245	88	317	38	11	0	1	6	1	32	27	0	27	69	10	6
ADIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOQ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADIPOR1	0	0	0	0	1	0	0	0	9	0	68	137	164	0	11	0	31	33	1	4	140	17	37	119	33	1	0	0	2	1	10	3	0	2	3	1	0
ADIPOR2	2	0	0	0	0	3	0	0	2	1	52	80	97	1	8	1	18	24	0	4	46	18	30	86	12	5	0	0	0	0	12	4	0	8	1	0	0
ADK	1	3	0	2	0	0	0	5	10	0	35	111	59	0	15	2	31	30	0	5	47	22	9	30	5	6	0	0	1	0	8	2	0	3	1	2	2
ADM	0	0	0	0	0	0	0	0	4	0	21	36	1	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
